********************* February 18 Observing Session - beginning 21:12:39 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1645219402|Feb 18 21:23:22||0.286976
1645219404|Feb 18 21:23:24||0.273664
1645219405|Feb 18 21:23:25||0.282368
1645219406|Feb 18 21:23:26||0.306688
1645219408|Feb 18 21:23:28||0.290048
1645219409|Feb 18 21:23:29||0.322304
1645219410|Feb 18 21:23:30||0.283392
1645219412|Feb 18 21:23:32||0.290560
1645219413|Feb 18 21:23:33||0.353024
1645219415|Feb 18 21:23:35||0.271872
1645219416|Feb 18 21:23:36||0.270080
1645219417|Feb 18 21:23:37||0.285696
1645219419|Feb 18 21:23:39||0.271360
1645219420|Feb 18 21:23:40||0.276992
1645219422|Feb 18 21:23:42||0.284416
1645219423|Feb 18 21:23:43||0.284416
1645219424|Feb 18 21:23:44||0.300032
1645219426|Feb 18 21:23:46||0.299264
1645219427|Feb 18 21:23:47||0.326656
1645219429|Feb 18 21:23:49||0.292096
1645219430|Feb 18 21:23:50||0.291072
1645219431|Feb 18 21:23:51||0.283648
1645219433|Feb 18 21:23:53||0.293120
1645219434|Feb 18 21:23:54||0.281088
1645219435|Feb 18 21:23:55||0.300544
1645219437|Feb 18 21:23:57||0.279296
1645219438|Feb 18 21:23:58||0.271104
1645219440|Feb 18 21:24:00||0.288000
1645219441|Feb 18 21:24:01||0.293120
1645219442|Feb 18 21:24:02||0.270080
1645219444|Feb 18 21:24:04||0.271616
1645219445|Feb 18 21:24:05||0.294656
