********************* April 27 Observing Session - beginning 00:30:06 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619483962|Apr 27 00:39:22|11|205.931747|205.927877|1.533697|1.640705|84.293807|6.237811|26.188900548343796|111.939294542519036|-129.603283|19.926784|20.419328
1619483964|Apr 27 00:39:24|10|205.938831|205.934960|1.531609|1.638610|84.370029|6.223137|26.188335183077101|111.941945453230005|-129.678369|69.727488|70.213120
1619483965|Apr 27 00:39:25|11|205.945837|205.941967|1.532778|1.639773|84.418890|6.235996|26.187148153281179|111.938803579023144|-129.728541|69.207808|69.756160
1619483967|Apr 27 00:39:27|9|205.950470|205.946600|1.532042|1.639033|84.277292|6.224215|26.189276447277436|111.942303381920198|-129.585498|41.775616|42.231296
1619483968|Apr 27 00:39:28|9|205.956602|205.952732|1.531936|1.638921|84.326974|6.225423|26.187813327734474|111.940857267660917|-129.635765|43.603200|44.241152
1619483970|Apr 27 00:39:30|10|205.963831|205.959961|1.532231|1.639210|84.348024|6.230106|26.188821781349091|111.941506267289242|-129.656560|94.727936|95.315712
1619483971|Apr 27 00:39:31|8|205.969463|205.965594|1.532392|1.639367|84.315900|6.230825|26.187901810037616|111.940239404155548|-129.624956|143.112448|143.570432
1619483973|Apr 27 00:39:33|8|205.976300|205.972432|1.532627|1.639596|84.356357|6.236907|26.189146490432606|111.941242924163959|-129.665011|50.069760|50.520320
1619483974|Apr 27 00:39:34|9|205.982036|205.978168|1.532644|1.639607|84.285541|6.231006|26.188051049486113|111.940009602279261|-129.594697|22.846208|23.332608
1619483976|Apr 27 00:39:36|8|205.987868|205.983999|1.532000|1.638958|84.339709|6.223317|26.189392349083889|111.942497597704488|-129.647834|738.774784|739.394048
1619483978|Apr 27 00:39:38|10|205.997957|205.994087|1.530942|1.637891|84.382745|6.221034|26.187416811624836|111.941978296009850|-129.691054|5.579520|6.116352
1619483979|Apr 27 00:39:39|13|206.003452|205.999584|1.531962|1.638906|84.378377|6.229920|26.187197680705793|111.940137880724905|-129.687463|76.198400|76.722432
