********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50
C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622516949|Jun 01 03:09:09|68|279.776125|279.781387|5.051128|5.032636|-99.623092|6.222449|27.326085151534926|107.703045138837552|52.509020|63.996160|64.445440
1622516950|Jun 01 03:09:10|64|279.783394|279.788656|5.051191|5.032685|-99.607760|6.224715|27.323872408539373|107.700634856288801|52.492853|73.250304|73.673728
1622516952|Jun 01 03:09:12|67|279.789110|279.794370|5.050318|5.031800|-99.565766|6.217322|27.325205181256280|107.703369349249712|52.451882|27.495680|27.936000
1622516953|Jun 01 03:09:13|66|279.795570|279.800832|5.051209|5.032678|-99.554929|6.227015|27.324145767541324|107.700893300409732|52.440110|27.276032|27.809792
1622516955|Jun 01 03:09:15|58|279.801364|279.806625|5.050642|5.032099|-99.565766|6.217322|27.325629864313292|107.703316496958720|52.451833|82.492160|82.963456
1622516956|Jun 01 03:09:16|67|279.807786|279.813048|5.051262|5.032706|-99.623092|6.222449|27.324414233139983|107.701092690294118|52.508336|80.979968|81.422080
1622516958|Jun 01 03:09:18|70|279.814036|279.819298|5.051211|5.032643|-99.639670|6.220751|27.325916766479686|107.702741538077362|52.525486|9.288960|9.825792
1622516959|Jun 01 03:09:19|68|279.820152|279.825412|5.050568|5.031988|-99.586617|6.218982|27.324065294639851|107.701793524425639|52.472167|30.458112|30.935552
1622516960|Jun 01 03:09:20|70|279.826065|279.831326|5.050617|5.032025|-99.602221|6.220786|27.322832397774313|107.700429045107867|52.487298|83.010304|83.456768
1622516962|Jun 01 03:09:22|66|279.832759|279.838021|5.050817|5.032211|-99.607760|6.224715|27.324181096708564|107.701532351045117|52.493197|26.552576|27.056640
1622516963|Jun 01 03:09:23|56|279.837736|279.842998|5.051103|5.032487|-99.623092|6.222449|27.323792433061847|107.700686802974133|52.508212|26.196480|26.646016
1622516965|Jun 01 03:09:25|60|279.843978|279.849240|5.051061|5.032432|-99.639670|6.220751|27.325306650126386|107.702334964613740|52.525360|26.854144|28.057344
1622516966|Jun 01 03:09:26|61|279.850586|279.855848|5.051279|5.032637|-99.602221|6.220786|27.323681965842582|107.700301602880813|52.487191|71.747328|72.220160
1622516968|Jun 01 03:09:28|66|279.857133|279.862395|5.050899|5.032244|-99.623092|6.222449|27.324743977858667|107.701994618590859|52.508680|27.243264|27.795456
1622516969|Jun 01 03:09:29|59|279.862720|279.867982|5.050649|5.031983|-99.607760|6.224715|27.323545275495668|107.701125916921995|52.493074|26.105344|26.655488
1622516971|Jun 01 03:09:31|65|279.869331|279.874593|5.050851|5.032171|-99.570286|6.224747|27.324956213011028|107.702290711015223|52.455981|27.119872|27.629056
1622516972|Jun 01 03:09:32|66|279.874599|279.879861|5.051043|5.032353|-99.586617|6.218982|27.324292067180650|107.701300941005755|52.471953|10.186240|10.658304
1622516974|Jun 01 03:09:34|65|279.881600|279.886863|5.051174|5.032470|-99.570286|6.224747|27.325370274615103|107.702226998424820|52.455928|63.334656|63.776768
1622516975|Jun 01 03:09:35|62|279.887083|279.892345|5.050738|5.032023|-99.623092|6.222449|27.324120946997901|107.701590908935103|52.508557|79.499264|79.929600
1622516977|Jun 01 03:09:37|63|279.893928|279.899189|5.050421|5.031692|-99.533827|6.221276|27.325008151592371|107.703005570203842|52.419808|80.543232|80.956416
1622516978|Jun 01 03:09:38|65|279.899346|279.904609|5.051072|5.032332|-99.623092|6.222449|27.324545930322031|107.701522013553742|52.508502|62.061312|62.501632
1622516980|Jun 01 03:09:40|65|279.906241|279.911504|5.051152|5.032398|-99.586617|6.218982|27.325667041700946|107.702571068860593|52.472379|11.181056|11.694336
1622516981|Jun 01 03:09:41|65|279.912229|279.917490|5.050137|5.031371|-99.565766|6.217322|27.323655453657459|107.702027392667944|52.451438|8.756224|9.810176
1622516982|Jun 01 03:09:42|65|279.917600|279.922862|5.050392|5.031615|-99.602221|6.220786|27.322958110125633|107.700906968418352|52.487483|8.193280|8.750592
1622516984|Jun 01 03:09:44|62|279.923730|279.928991|5.050081|5.031292|-99.601942|6.216719|27.324371365370745|107.702861365977355|52.487906|82.571008|83.007488
1622516985|Jun 01 03:09:45|63|279.929860|279.935123|5.050721|5.031919|-99.602221|6.220786|27.323381994863041|107.700844776300741|52.487431|61.994496|62.509312
1622516987|Jun 01 03:09:47|61|279.936429|279.941691|5.050369|5.031555|-99.623092|6.222449|27.324447474464925|107.702498666665321|52.508904|58.287360|58.914560
1622516988|Jun 01 03:09:48|61|279.942153|279.947414|5.049944|5.031117|-99.565766|6.217322|27.323029036291260|107.701669625539878|52.451334|26.039552|26.607616
1622516990|Jun 01 03:09:50|62|279.948692|279.953955|5.050702|5.031863|-99.623092|6.222449|27.324871949958037|107.702430668609168|52.508849|8.591104|9.033216
1622516991|Jun 01 03:09:51|63|279.954413|279.959678|5.051839|5.032988|-99.654981|6.218489|27.324518667348734|107.700315995392231|52.539903|57.750016|58.296064
1622516993|Jun 01 03:09:53|67|279.960955|279.966219|5.051035|5.032171|-99.623092|6.222449|27.325296294954661|107.702362889231310|52.508794|80.826112|81.246720
1622516994|Jun 01 03:09:54|66|279.966932|279.972193|5.050003|5.031127|-99.602221|6.220786|27.323281062342538|107.701841855057083|52.487842|80.686848|81.114880
1622516996|Jun 01 03:09:56|63|279.973218|279.978483|5.051368|5.032479|-99.623092|6.222449|27.325720510249752|107.702295329431081|52.508739|27.531520|28.050432
1622516997|Jun 01 03:09:57|64|279.979423|279.984687|5.051363|5.032462|-99.639670|6.220751|27.324238161099032|107.700752905839920|52.524788|26.102016|26.633728
1622516999|Jun 01 03:09:59|72|279.985491|279.990754|5.050566|5.031653|-99.586617|6.218982|27.325365879841129|107.703156150200684|52.472636|30.624256|31.148544
1622517000|Jun 01 03:10:00|69|279.991452|279.996715|5.050659|5.031734|-99.602221|6.220786|27.324127705776014|107.701719503661081|52.487737|60.016384|60.617984
1622517002|Jun 01 03:10:02|65|279.997747|280.003011|5.050891|5.031953|-99.586617|6.218982|27.325789273479238|107.703100666553993|52.472586|74.871296|75.312896
1622517003|Jun 01 03:10:03|69|280.003712|280.008976|5.050986|5.032036|-99.602221|6.220786|27.324550835851596|107.701658660195875|52.487685|8.324864|8.901376
1622517004|Jun 01 03:10:04|61|280.010518|280.015783|5.051202|5.032238|-99.607760|6.224715|27.322778984279957|107.699475877615768|52.492454|57.832960|58.292992
1622517006|Jun 01 03:10:06|65|280.015430|280.020695|5.051533|5.032560|-99.623092|6.222449|27.325518452275837|107.701830061726312|52.508563|27.742976|28.246784
1622517007|Jun 01 03:10:07|65|280.022785|280.028051|5.051530|5.032542|-99.607760|6.224715|27.323197232504683|107.699408346527832|52.492400|26.999040|27.545088
1622517009|Jun 01 03:10:09|68|280.027679|280.032943|5.050704|5.031706|-99.586617|6.218982|27.325162283360768|107.702731720658250|52.472477|28.841728|29.416704
1622517010|Jun 01 03:10:10|67|280.033656|280.038921|5.051341|5.032331|-99.654981|6.218489|27.324282690119809|107.700833438854261|52.540128|18.070784|18.590720
1622517012|Jun 01 03:10:12|60|280.040470|280.045734|5.050799|5.031775|-99.565766|6.217322|27.325039700367014|107.702457594484059|52.451523|8.249856|8.839168
1622517013|Jun 01 03:10:13|71|280.045887|280.051151|5.050507|5.031472|-99.618511|6.215028|27.323936408501076|107.701752281809078|52.504053|9.591296|10.155520
1622517015|Jun 01 03:10:15|68|280.052511|280.057775|5.050824|5.031776|-99.623092|6.222449|27.325416662674826|107.702813345351487|52.508969|64.899840|65.401088
1622517016|Jun 01 03:10:16|67|280.058140|280.063403|5.050281|5.031222|-99.565766|6.217322|27.323988371760471|107.702153687038631|52.451468|63.600896|64.406016
1622517018|Jun 01 03:10:18|69|280.064774|280.070039|5.051155|5.032082|-99.623092|6.222449|27.325839975067474|107.702747491216456|52.508915|9.147136|9.616128
1622517019|Jun 01 03:10:19|61|280.070953|280.076218|5.051176|5.032091|-99.639670|6.220751|27.324393388703534|107.701203160034780|52.524960|60.336896|60.797184
1622517021|Jun 01 03:10:21|63|280.077005|280.082267|5.049720|5.030623|-99.533827|6.221276|27.325084706700402|107.704162011215857|52.420272|61.532416|62.168320
1622517022|Jun 01 03:10:22|63|280.083284|280.088549|5.051026|5.031915|-99.541012|6.223431|27.324439408267857|107.701482121179424|52.426413|810.942208|811.438080
1622517024|Jun 01 03:10:24|60|280.091810|280.097074|5.050566|5.031439|-99.560210|6.219013|27.324003023398561|107.701731962445237|52.445740|1041.640960|1042.149632
1622517027|Jun 01 03:10:27|66|280.102357|280.107622|5.050596|5.031447|-99.560210|6.219013|27.325473473059986|107.703223405127289|52.446250|786.815488|787.281408
1622517029|Jun 01 03:10:29|65|280.112814|280.118079|5.050273|5.031104|-99.516824|6.232656|27.323720178722652|107.701886142411553|52.402435|781.420288|781.890560
1622517031|Jun 01 03:10:31|60|280.121616|280.126881|5.050298|5.031111|-99.623334|6.229595|27.323411899838355|107.701525180727771|52.508819|103.324928|103.773696
1622517033|Jun 01 03:10:33|59|280.128465|280.133732|5.051463|5.032262|-99.623334|6.229595|27.325304613826404|107.701715111782264|52.508773|648.157696|648.626688
1622517035|Jun 01 03:10:35|61|280.135995|280.141262|5.051473|5.032257|-99.647353|6.220383|27.325914930551988|107.702336763234669|52.533004|440.891648|441.346560
1622517037|Jun 01 03:10:37|58|280.144125|280.149390|5.050604|5.031371|-99.595072|6.218041|27.325488343398192|107.703226977851941|52.481112|685.809920|686.369792
1622517039|Jun 01 03:10:39|60|280.153312|280.158577|5.050421|5.031170|-99.623334|6.229595|27.324757392286983|107.702743644244663|52.509226|649.610752|650.113792
1622517041|Jun 01 03:10:41|64|280.161621|280.166886|5.050462|5.031195|-99.635874|6.220108|27.324819824383233|107.702744999729674|52.521762|402.817792|403.252992
1622517043|Jun 01 03:10:43|64|280.169075|280.174340|5.050535|5.031252|-99.562651|6.217756|27.325528037829244|107.703373785584148|52.448748|667.182848|667.787776
1622517045|Jun 01 03:10:45||1425.577216
1622517048|Jun 01 03:10:48||1910.075136
1622517051|Jun 01 03:10:51||1445.440512
1622517054|Jun 01 03:10:54||1443.631360
1622517057|Jun 01 03:10:57||1808.862976
1622517060|Jun 01 03:11:00||1460.533248
1622517063|Jun 01 03:11:03||1466.836480
1622517066|Jun 01 03:11:06||1807.987968
1622517069|Jun 01 03:11:09||1488.216576
1622517072|Jun 01 03:11:12||1440.190208
1622517075|Jun 01 03:11:15||1856.925952
1622517078|Jun 01 03:11:18||1348.570368
1622517081|Jun 01 03:11:21||1488.819712
1622517084|Jun 01 03:11:24||1836.210688
1622517087|Jun 01 03:11:27||1365.727232
1622517090|Jun 01 03:11:30||1744.762880
1622517093|Jun 01 03:11:33||1428.603904
1622517096|Jun 01 03:11:36||1473.177088
1622517099|Jun 01 03:11:39||1935.761152
1622517102|Jun 01 03:11:42||1438.143744
1622517105|Jun 01 03:11:45||1444.916992
1622517108|Jun 01 03:11:48||1515.890432
1622517111|Jun 01 03:11:51||1929.123072
1622517114|Jun 01 03:11:54||1412.414464
1622517117|Jun 01 03:11:57||1550.599680
1622517120|Jun 01 03:12:00||1567.669504
1622517123|Jun 01 03:12:03||1523.992064
1622517126|Jun 01 03:12:06||1556.663552
1622517129|Jun 01 03:12:09||1506.717184
1622517132|Jun 01 03:12:12||1931.336448
1622517135|Jun 01 03:12:15||1224.199168
1622517138|Jun 01 03:12:18||1709.180928
1622517141|Jun 01 03:12:21||1416.818176
1622517144|Jun 01 03:12:24||1661.975040
1622517147|Jun 01 03:12:27||1689.374720
1622517150|Jun 01 03:12:30||1503.643136
1622517153|Jun 01 03:12:33||1678.385920
1622517156|Jun 01 03:12:36||1629.967872
1622517159|Jun 01 03:12:39||1356.654336
1622517162|Jun 01 03:12:42||1715.608576
1622517165|Jun 01 03:12:45||1593.080832
1622517168|Jun 01 03:12:48||1677.346304
1622517171|Jun 01 03:12:51||1333.827328
1622517174|Jun 01 03:12:54||2004.747776
1622517177|Jun 01 03:12:57||1367.185664
1622517180|Jun 01 03:13:00||1496.346624
1622517183|Jun 01 03:13:03||1429.351680
1622517186|Jun 01 03:13:06||1619.593216
1622517189|Jun 01 03:13:09||1708.930048
1622517192|Jun 01 03:13:12||1618.897408
1622517195|Jun 01 03:13:15||1486.279168
1622517198|Jun 01 03:13:18||1716.513536
1622517201|Jun 01 03:13:21||1462.223104
1622517204|Jun 01 03:13:24||1711.631616
1622517207|Jun 01 03:13:27||1624.621056
1622517210|Jun 01 03:13:30|53|280.868278|280.873551|5.050115|5.029428|-99.519411|6.227716|27.324173165184440|107.702602600912783|52.405282|974.273536|974.697728
1622517212|Jun 01 03:13:32|49|280.877566|280.882840|5.050695|5.029990|-99.500796|6.217650|27.323888130826340|107.701413134397711|52.386204|1717.785344|1718.243328
1622517215|Jun 01 03:13:35||2020.385280
1622517219|Jun 01 03:13:39||1480.077824
1622517222|Jun 01 03:13:42|44|280.918144|280.923417|5.049749|5.028962|-99.507319|6.228192|27.324121547846502|107.703110938067212|52.393400|901.303296|901.765120
1622517224|Jun 01 03:13:44||2036.539648
1622517228|Jun 01 03:13:48|49|280.941793|280.947070|5.051285|5.030450|-99.556449|6.221667|27.326202908604593|107.702927587550093|52.442321|936.758784|937.201152
1622517230|Jun 01 03:13:50||1496.534784
1622517233|Jun 01 03:13:53|47|280.964591|280.969867|5.050624|5.029744|-99.604448|6.227473|27.324361159444628|107.702016727303032|52.490070|769.195776|769.655808
1622517235|Jun 01 03:13:55||1051.575296
1622517238|Jun 01 03:13:58||1991.886336
1622517241|Jun 01 03:14:01||1410.730752
1622517244|Jun 01 03:14:04|49|281.008557|281.013831|5.049597|5.028628|-99.564690|6.239069|27.325116074932396|107.704384431807426|52.451224|680.591360|681.030656
1622517246|Jun 01 03:14:06|45|281.018311|281.023585|5.049491|5.028503|-99.485657|6.229955|27.324023987190607|107.703404958343654|52.371864|602.225664|602.668544
1622517248|Jun 01 03:14:08||1293.996544
1622517251|Jun 01 03:14:11|47|281.037731|281.043004|5.049270|5.028243|-99.485657|6.229955|27.324947207498703|107.704709656659318|52.372333|609.344000|609.829632
1622517253|Jun 01 03:14:13|48|281.047188|281.052464|5.050154|5.029108|-99.500154|6.227693|27.324744971759870|107.703140661423760|52.386207|732.882944|733.329408
1622517255|Jun 01 03:14:15|48|281.056391|281.061666|5.049912|5.028848|-99.564550|6.230638|27.323962260908573|107.702693523231716|52.450472|730.028800|730.518528
1622517257|Jun 01 03:14:17|45|281.064889|281.070164|5.049647|5.028565|-99.500154|6.227693|27.323678351503510|107.702804695772997|52.386139|917.659136|918.173440
1622517259|Jun 01 03:14:19|46|281.074852|281.080128|5.049901|5.028799|-99.528774|6.227567|27.322677872014069|107.701368728577819|52.414242|602.730496|603.236864
1622517261|Jun 01 03:14:21|46|281.082483|281.087758|5.049925|5.028808|-99.536320|6.234531|27.323224088381465|107.701902408270371|52.421969|415.103488|416.271360
1622517263|Jun 01 03:14:23|44|281.089805|281.095082|5.050349|5.029218|-99.564550|6.230638|27.324267685188964|107.702341116443833|52.450309|604.645632|605.115904
1622517265|Jun 01 03:14:25|44|281.098660|281.103936|5.050105|5.028956|-99.564550|6.230638|27.323737358453343|107.702162008084130|52.450271|600.878080|601.353472
1622517267|Jun 01 03:14:27|41|281.107698|281.112973|5.049445|5.028278|-99.549658|6.229143|27.322790762616791|107.702185846632872|52.435450|819.315456|819.770368
1622517269|Jun 01 03:14:29|46|281.116099|281.121375|5.049927|5.028743|-99.521425|6.233029|27.323085357936499|107.701754415643933|52.407023|921.064960|922.935296
1622517272|Jun 01 03:14:32|43|281.126516|281.131791|5.049486|5.028281|-99.578283|6.229013|27.324331077632692|107.703733655945740|52.464604|591.847168|592.330240
1622517274|Jun 01 03:14:34|41|281.135225|281.140501|5.049741|5.028519|-99.515030|6.229188|27.324246438161587|107.703253833545830|52.401161|575.241472|575.710720
1622517276|Jun 01 03:14:36|46|281.144394|281.149670|5.050054|5.028814|-99.528375|6.223810|27.323866990558912|107.702375456269451|52.414175|852.983808|853.442304
1622517278|Jun 01 03:14:38|43|281.153069|281.158347|5.051113|5.029855|-99.501279|6.230803|27.324354652538958|107.701259526454592|52.386595|799.229696|799.898112
1622517280|Jun 01 03:14:40|45|281.162234|281.167511|5.049960|5.028683|-99.549658|6.229143|27.322979366649257|107.701592720474892|52.435197|598.877696|599.371008
1622517282|Jun 01 03:14:42|43|281.170919|281.176196|5.050144|5.028850|-99.564550|6.230638|27.322864661930900|107.701189774775500|52.449933|584.742400|585.272832
1622517284|Jun 01 03:14:44|40|281.179198|281.184475|5.050183|5.028872|-99.515030|6.229188|27.322947654284008|107.701217144192242|52.400419|800.817408|801.296640
1622517287|Jun 01 03:14:47|43|281.188629|281.193906|5.049653|5.028324|-99.564550|6.230638|27.324851612784798|107.704021221357877|52.450953|592.543488|593.223168
1622517289|Jun 01 03:14:49|41|281.196903|281.202180|5.049677|5.028331|-99.515030|6.229188|27.324927457548128|107.704064708282033|52.401446|583.981824|584.449792
1622517291|Jun 01 03:14:51|43|281.205361|281.210638|5.050108|5.028745|-99.486776|6.233078|27.325147131534997|107.703631757253817|52.373002|625.820416|626.375424
1622517293|Jun 01 03:14:53|41|281.213347|281.218624|5.049887|5.028508|-99.549658|6.229143|27.325266732040561|107.704096180769170|52.436064|586.435072|586.891776
1622517295|Jun 01 03:14:55|38|281.222045|281.227322|5.050084|5.028687|-99.564550|6.230638|27.325151509897857|107.703673413617167|52.450792|751.996160|752.459008
1622517297|Jun 01 03:14:57|47|281.230900|281.236177|5.049838|5.028423|-99.564550|6.230638|27.324619780496157|107.703495591376182|52.450755|1060.133120|1060.585216
1622517299|Jun 01 03:14:59|44|281.241095|281.246372|5.049275|5.027840|-99.568478|6.228443|27.322894140782033|107.702556253692393|52.454414|1593.508352|1593.961216
1622517302|Jun 01 03:15:02|46|281.253895|281.259173|5.049767|5.028307|-99.549658|6.229143|27.323035424356078|107.701947109977866|52.435337|453.628416|454.096640
1622517304|Jun 01 03:15:04|42|281.262292|281.267568|5.049374|5.027897|-99.563392|6.227519|27.322738264164386|107.702241137286691|52.449210|762.327808|762.862592
1622517306|Jun 01 03:15:06|40|281.272061|281.277338|5.049412|5.027916|-99.535916|6.230761|27.321732969160799|107.701130911440458|52.421349|1019.169536|1019.608064
1622517309|Jun 01 03:15:09|46|281.281056|281.286332|5.048824|5.027309|-99.599185|6.230586|27.323915755157699|107.704316877952138|52.485769|945.386752|945.882624
1622517311|Jun 01 03:15:11|48|281.291003|281.296282|5.050307|5.028772|-99.522563|6.236153|27.323763493084392|107.701879833599605|52.408168|1967.407616|1967.838720
1622517315|Jun 01 03:15:15|45|281.304874|281.310152|5.050154|5.028591|-99.564550|6.230638|27.325733603753704|107.704174461691508|52.450958|794.703104|795.161344
1622517317|Jun 01 03:15:17|41|281.314834|281.320113|5.050366|5.028783|-99.515030|6.229188|27.324707292608288|107.702776061936859|52.400938|235.736064|236.272384
1622517318|Jun 01 03:15:18|41|281.320416|281.325696|5.050466|5.028873|-99.551221|6.236027|27.323751056711330|107.701621268908312|52.436722|686.480384|686.913024
1622517321|Jun 01 03:15:21|41|281.329891|281.335170|5.050062|5.028450|-99.600804|6.237475|27.325708480292349|107.704288974656109|52.487260|523.593984|524.044032
